record_id,source_table,webcam_id,image_url,llm_quality,llm_is_sunset,llm_is_sunrise,llm_confidence,llm_has_clouds,llm_color_palette,llm_obstruction,llm_time_of_day,llm_sky_coverage,llm_rating_explanation,llm_model,llm_provider,rated_at,human_calculated_rating,human_rating_count
31,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/15453642965.jpg,0.82,True,False,0.85,True,"Golden orange, amber, and deep yellow with darker orange bands",,golden_hour,full,"Rich golden and orange hues fill the entire sky with layered clouds creating dramatic depth, beautifully reflected in the water below.",claude-sonnet-4-5,anthropic,2026-05-12T20:45:56.401350+00:00,,0
32,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/30117447616.jpg,0.72,True,False,0.85,False,Deep orange and golden yellow transitioning to dark blue,,golden_hour,full,"Vivid orange and golden sunset with clear gradient to deep blue, though lacking dramatic clouds to elevate it further.",claude-sonnet-4-5,anthropic,2026-05-12T20:46:04.755364+00:00,,0
33,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/31733406815.jpg,0.82,True,True,0.85,True,"golden orange, purple, blue gradient with dramatic cloud formations",,golden_hour,full,"Dramatic golden-orange clouds with sun rays breaking through, creating a stunning gradient from warm to cool tones across the winter landscape.",claude-sonnet-4-5,anthropic,2026-05-12T20:46:14.527284+00:00,,0
34,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/52508027898.jpg,0.72,True,False,0.85,False,"golden yellow, orange, amber with warm gradient",,golden_hour,mostly,"Vivid golden-orange sky with clear sun disk at horizon through dune grasses, though lacking dramatic clouds for higher rating.",claude-sonnet-4-5,anthropic,2026-05-12T20:46:23.683480+00:00,,0
35,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/27563168474.jpg,0.95,True,False,0.95,True,"Deep crimson red, fiery orange, golden yellow with dark blue-gray accents",,twilight,full,Spectacular display of vivid crimson and orange clouds stretching across the entire sky with dramatic streaking patterns and perfect reflection in the water below.,claude-sonnet-4-5,anthropic,2026-05-12T20:46:33.892802+00:00,,0
36,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/49405933343.jpg,0.88,True,False,0.85,True,"vibrant orange, pink, yellow, and purple with blue-gray tones",,golden_hour,full,Spectacular sunset with rich orange and pink hues spreading across dramatic clouds over a reflective beach scene.,claude-sonnet-4-5,anthropic,2026-05-12T20:46:43.035132+00:00,,0
37,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/31297579155.jpg,0.78,True,False,0.85,False,Golden orange and amber with bright white sun,,golden_hour,partial,"Vivid golden hour light with beautiful bokeh effect and silhouetted wildflowers creating an artistic composition, though sky coverage is limited.",claude-sonnet-4-5,anthropic,2026-05-12T20:46:51.848720+00:00,,0
38,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/28543842462.jpg,0.88,True,False,0.85,True,"vibrant orange, pink, purple, and blue gradient",,twilight,full,Stunning gradient of warm oranges and pinks transitioning to cool purples across the entire sky with dramatic cloud layers and perfect water reflections.,claude-sonnet-4-5,anthropic,2026-05-12T20:47:01.020656+00:00,,0
39,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/31142469826.jpg,0.82,True,False,0.85,True,"Deep orange, red, and purple with dark blue clouds",,twilight,full,Dramatic sunset with vivid orange and red horizon transitioning to deep purple and blue clouds across the entire sky.,claude-sonnet-4-5,anthropic,2026-05-12T20:47:09.208336+00:00,,0
40,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/26116424586.jpg,0.55,True,False,0.75,True,Deep blue with orange and yellow horizon glow,,blue_hour,full,"Moderate sunset colors with orange-yellow glow at horizon beneath dramatic blue clouds, but limited vivid color spread across the sky.",claude-sonnet-4-5,anthropic,2026-05-12T20:47:18.231776+00:00,,0
41,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/51935896995.jpg,0.78,True,False,0.85,True,"golden orange, amber, and soft gray-blue",,golden_hour,mostly,Vivid golden-orange sun with dramatic silhouetted tree and warm gradient sky creating a striking composition.,claude-sonnet-4-5,anthropic,2026-05-12T20:47:27.303735+00:00,,0
42,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/20349936366.jpg,0.72,True,False,0.85,True,"Golden yellow, amber, and gray with warm orange tones",building,golden_hour,mostly,"Vivid golden and amber sky with dramatic clouds and striking silhouette composition, though building blocks significant portion of frame.",claude-sonnet-4-5,anthropic,2026-05-12T20:47:36.180028+00:00,,0
43,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/48581992872.jpg,0.72,True,False,0.85,False,Deep blue gradient transitioning to golden orange and yellow near the horizon,,golden_hour,full,"Clear gradient sky with vivid golden sun reflection on water below, though lacking dramatic clouds for higher impact.",claude-sonnet-4-5,anthropic,2026-05-12T20:47:45.005276+00:00,,0
44,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/24980583086.jpg,0.78,True,False,0.85,True,"Deep orange, golden yellow, and red tones with darker amber gradients",,golden_hour,full,Vivid orange and golden sky with a prominent sun disk and layered clouds creating dramatic color gradients across the entire frame.,claude-sonnet-4-5,anthropic,2026-05-12T20:47:53.647783+00:00,,0
45,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/28389765935.jpg,0.88,True,False,0.92,True,"Deep orange, amber, and dark crimson with dramatic dark clouds",,golden_hour,full,"Spectacular sunset with vibrant orange sky, dramatic layered clouds, perfect sun position at horizon, and silhouetted cityscape creating excellent composition.",claude-sonnet-4-5,anthropic,2026-05-12T20:48:03.179465+00:00,,0
46,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/30202271576.jpg,0.82,True,False,0.85,True,"golden orange, warm amber, deep gray-blue, with pink highlights",,golden_hour,full,Dramatic cloudscape with rich golden and orange hues illuminating varied cloud formations across the entire sky.,claude-sonnet-4-5,anthropic,2026-05-12T20:48:11.681884+00:00,,0
47,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/52502555600.jpg,0.72,True,False,0.85,True,"Golden yellow, warm orange, soft pink, and light blue",,golden_hour,full,Warm golden light bathes the Hungarian Parliament building with soft pastel colors in the sky and subtle cloud detail creating an attractive golden hour scene.,claude-sonnet-4-5,anthropic,2026-05-12T20:48:20.788772+00:00,,0
48,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/49654249328.jpg,0.72,True,False,0.85,True,"Pink, peach, cream, and pale blue with dark silhouettes",,twilight,full,"Vivid pastel colors with pink and peach tones spread across the sky, enhanced by dramatic tree silhouettes creating strong contrast.",claude-sonnet-4-5,anthropic,2026-05-12T20:48:29.784685+00:00,,0
49,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/48140356067.jpg,0.82,True,False,0.85,False,"Deep orange, golden yellow, purple-pink gradient",,golden_hour,mostly,"Vibrant golden-orange sun with rich warm gradient across the sky, though lacking dramatic cloud formations to elevate it further.",claude-sonnet-4-5,anthropic,2026-05-12T20:48:38.630854+00:00,,0
50,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/31062790581.jpg,0.78,True,False,0.85,True,"Deep orange, pink, purple, and blue gradient",,twilight,mostly,"Vivid orange and pink clouds with dramatic color gradients across most of the sky, though silhouetted structures reduce some impact.",claude-sonnet-4-5,anthropic,2026-05-12T20:48:46.695422+00:00,,0
51,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/49302681346.jpg,0.72,True,False,0.85,True,"soft pink, purple, and lavender with warm orange reflections",,twilight,full,Vivid pink and purple twilight sky with dramatic clouds and beautiful reflections on the wet beach surface.,claude-sonnet-4-5,anthropic,2026-05-12T20:48:55.514996+00:00,,0
52,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/9728065951.jpg,0.72,True,False,0.85,False,"warm orange, yellow, and amber gradient transitioning to blue",,golden_hour,mostly,"Vivid orange and yellow gradient across the sky with clear atmospheric conditions, though lacking dramatic cloud formations.",claude-sonnet-4-5,anthropic,2026-05-12T20:49:04.307144+00:00,,0
53,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/26745686411.jpg,0.72,True,False,0.85,True,"warm orange, golden yellow, and soft peach with gray-blue clouds",,golden_hour,full,Vivid golden-orange sky with dramatic cloud formations and strong backlighting creating beautiful silhouettes along a rural road.,claude-sonnet-4-5,anthropic,2026-05-12T20:49:13.384988+00:00,,0
54,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/9894478013.jpg,0.82,True,False,0.85,True,"golden orange, warm yellow, blue sky, gray-white clouds with peachy highlights",,golden_hour,full,"Dramatic cloud formations illuminated with rich golden and orange hues across the entire sky, with the sun visible on the horizon creating a stunning waterfront scene.",claude-sonnet-4-5,anthropic,2026-05-12T20:49:22.024161+00:00,,0
55,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/54186640633.jpg,0.72,True,True,0.75,False,Deep blue gradient transitioning to golden yellow and orange at horizon,,blue_hour,full,"Clear gradient sky with vivid golden-orange horizon colors reflected beautifully in calm water, though lacking dramatic clouds for higher impact.",claude-sonnet-4-5,anthropic,2026-05-12T20:49:30.598333+00:00,,0
56,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/51859641516.jpg,0.82,True,False,0.85,True,"golden orange, warm yellow, purple-gray clouds",,golden_hour,mostly,"Dramatic golden and orange sky with layered clouds reflecting beautifully over the lake, creating a rich warm atmosphere.",claude-sonnet-4-5,anthropic,2026-05-12T20:49:39.554619+00:00,,0
57,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/31696148088.jpg,0.88,True,False,0.92,True,"Golden orange, amber, and deep bronze with dark silhouetted clouds",,golden_hour,full,Dramatic crepuscular rays piercing through layered clouds with rich golden tones across the entire ocean horizon create a spectacular scene.,claude-sonnet-4-5,anthropic,2026-05-12T20:49:48.648010+00:00,,0
58,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/24192338135.jpg,0.82,True,True,0.85,True,"golden yellow, bright orange, warm amber with white clouds",,golden_hour,full,Brilliant golden and orange sky with dramatic cloud formations and sun rays creating a stunning golden hour scene across the entire frame.,claude-sonnet-4-5,anthropic,2026-05-12T20:49:57.554375+00:00,,0
59,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/36532410071.jpg,0.72,True,False,0.85,False,"soft pink, peach, and blue gradient",,blue_hour,mostly,"Beautiful pastel sunset colors with pink and peach tones illuminating the Louvre pyramid, though lacking dramatic clouds for higher impact.",claude-sonnet-4-5,anthropic,2026-05-12T20:50:06.672600+00:00,,0
61,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/25375632652.jpg,0.78,True,False,0.85,True,"Deep orange, pink, and golden yellow transitioning to dark blue",,twilight,full,Vivid orange and pink clouds stretch across the horizon with rich color gradients and dramatic cloud formations against a darkening blue sky.,claude-sonnet-4-5,anthropic,2026-05-12T20:50:26.742000+00:00,,0
62,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/51027772701.jpg,0.82,True,False,0.85,True,"vibrant pink, coral, orange, and purple with blue-gray tones",,twilight,mostly,"Dramatic pink and coral clouds stretch across most of the sky with rich color gradients from orange to purple, creating a vivid twilight scene.",claude-sonnet-4-5,anthropic,2026-05-12T20:50:36.567224+00:00,,0
63,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/51280181956.jpg,0.88,True,False,0.85,True,"vibrant orange, yellow, red with blue and purple tones",,golden_hour,full,"Spectacular sunset with intense orange and yellow bands stretching across the entire horizon, complemented by dramatic cloud formations and rich color gradients.",claude-sonnet-4-5,anthropic,2026-05-12T20:50:45.350014+00:00,,0
64,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/14889126440.jpg,0.88,True,False,0.85,True,"Deep blues transitioning to vibrant oranges, pinks, and golden yellows",,twilight,full,Spectacular dramatic clouds with rich color gradients from deep blue to fiery orange reflected perfectly in still water below.,claude-sonnet-4-5,anthropic,2026-05-12T20:50:57.069046+00:00,,0
65,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/30757443684.jpg,0.78,True,False,0.85,True,"warm oranges, golden yellows, soft purples and grays",,golden_hour,full,Vivid orange and golden sky with layered clouds and dramatic silhouetted trees creating strong visual interest.,claude-sonnet-4-5,anthropic,2026-05-12T20:51:05.507237+00:00,,0
66,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/29836572783.jpg,0.78,True,False,0.85,True,"golden orange, amber, and warm yellows with gray-brown clouds",,golden_hour,full,Vivid golden-orange sky with dramatic cloud formations and strong sun rays creating a striking sunset scene across the entire frame.,claude-sonnet-4-5,anthropic,2026-05-12T20:51:14.803743+00:00,,0
67,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/32353437252.jpg,0.78,True,True,0.85,False,"Deep orange, amber, and golden yellow gradient",,golden_hour,full,"Rich orange and golden gradient fills the entire sky with silhouetted trees creating dramatic contrast, though lacking clouds for added texture.",claude-sonnet-4-5,anthropic,2026-05-12T20:51:23.434461+00:00,,0
68,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/25585118923.jpg,0.72,True,False,0.85,True,"Orange, peach, and blue gradient with warm golden tones near horizon",,golden_hour,full,Vivid orange and golden colors illuminate the sky with dramatic silhouetted tree creating strong compositional interest.,claude-sonnet-4-5,anthropic,2026-05-12T20:51:32.072511+00:00,,0
69,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/36076019770.jpg,0.88,True,False,0.92,True,"Deep orange, pink, purple, and magenta with dark blue undertones",,twilight,full,Spectacular sunset with dramatic layered clouds displaying rich orange and pink hues reflected beautifully in the water below.,claude-sonnet-4-5,anthropic,2026-05-12T20:51:41.757824+00:00,,0
70,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/52265450306.jpg,0.88,True,False,0.85,True,"vibrant orange, golden yellow, pink, and deep blue",,golden_hour,full,"Spectacular display of dramatic clouds with intense orange and golden hues reflecting across water, creating a stunning layered sky composition.",claude-sonnet-4-5,anthropic,2026-05-12T20:51:54.158687+00:00,,0
71,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/46074244234.jpg,0.88,True,False,0.92,True,"Deep orange, golden yellow, purple, and dark blue",,golden_hour,full,"Spectacular sunset with dramatic layered clouds, vibrant orange and golden hues illuminating the sky, and beautiful silhouetted landscape creating depth.",claude-sonnet-4-5,anthropic,2026-05-12T20:52:03.203837+00:00,,0
72,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/29305563178.jpg,0.82,True,False,0.85,True,"golden yellow, soft orange, deep blue, and purple",,golden_hour,full,Dramatic layered clouds with rich golden and orange hues create a striking silhouette composition with the grass seed head.,claude-sonnet-4-5,anthropic,2026-05-12T20:52:12.114992+00:00,,0
73,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/24501502725.jpg,0.72,True,True,0.85,True,Rich golden orange with amber and yellow tones,,golden_hour,full,Vivid golden-orange sky with layered clouds and dramatic silhouetted landscape creates a striking scene.,claude-sonnet-4-5,anthropic,2026-05-12T20:52:20.747119+00:00,,0
74,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/48831922538.jpg,0.92,True,False,0.95,True,"Deep oranges, fiery reds, golden yellows, purple-blues, and dark navy",,golden_hour,full,"Spectacular display with dramatic layered clouds in vivid oranges, reds, and purples stretching across the entire sky with exceptional color saturation.",claude-sonnet-4-5,anthropic,2026-05-12T20:52:29.855174+00:00,,0
75,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/54939503513.jpg,0.78,True,False,0.85,True,"Orange, peach, pink, and purple with blue-gray undertones",building,golden_hour,mostly,"Vivid orange and pink clouds with dramatic layering across most of the sky, though industrial structures obstruct the horizon.",claude-sonnet-4-5,anthropic,2026-05-12T20:52:38.120998+00:00,,0
76,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/27000000235.jpg,0.88,True,False,0.92,True,"Deep orange, golden yellow, dark blue, with dramatic dark clouds",,golden_hour,full,"Spectacular sunset with intense golden-orange horizon, dramatic cloud formations, and rich color gradients across the entire sky.",claude-sonnet-4-5,anthropic,2026-05-12T20:52:46.210232+00:00,,0
77,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/25443788453.jpg,0.78,True,False,0.85,True,"deep orange, golden yellow, purple-blue gradient",,golden_hour,full,Rich golden-orange sky with dramatic cloud layers and smooth color gradient from warm tones to deep purple creates a vivid sunset scene.,claude-sonnet-4-5,anthropic,2026-05-12T20:52:55.068586+00:00,,0
78,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/54020584610.jpg,0.78,True,False,0.85,True,"Deep orange, pink, purple, and blue gradient with dark clouds",,twilight,mostly,"Vivid orange and pink sunset with dramatic dark clouds creating strong contrast, beautifully reflected in the water below.",claude-sonnet-4-5,anthropic,2026-05-12T20:53:03.742284+00:00,,0
79,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/50736803317.jpg,0.82,True,False,0.85,True,"vibrant orange, yellow, pink with purple-gray clouds",,golden_hour,full,"Dramatic sunset with intense orange and yellow hues illuminating layered clouds across the entire sky, creating a striking silhouette of bare trees.",claude-sonnet-4-5,anthropic,2026-05-12T20:53:12.505648+00:00,,0
80,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/49474922402.jpg,0.72,True,False,0.85,False,Deep blue transitioning to golden orange and amber near horizon,,golden_hour,full,"Clear gradient sky with vivid golden-orange colors at horizon and deep blue above, though lacking dramatic clouds for higher impact.",claude-sonnet-4-5,anthropic,2026-05-12T20:53:21.802359+00:00,,0
81,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/25861544850.jpg,0.88,True,False,0.85,True,"Deep golden orange, amber, and warm yellows with darker cloud layers",,golden_hour,full,"Spectacular golden sunset with dramatic layered clouds, brilliant sun disk, and striking silhouetted tree creating a classic composition.",claude-sonnet-4-5,anthropic,2026-05-12T20:53:31.706407+00:00,,0
82,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/25466464648.jpg,0.72,True,False,0.85,False,Deep blue to purple gradient transitioning to warm orange and pink near horizon,,twilight,full,"Clear gradient sky with vivid warm colors at horizon transitioning to rich purples and blues above, though lacking dramatic clouds for higher impact.",claude-sonnet-4-5,anthropic,2026-05-12T20:53:40.680971+00:00,,0
83,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/37691035406.jpg,0.72,True,False,0.85,False,"warm peach, coral orange, soft amber gradient",,golden_hour,full,"Vivid warm gradient from peach to coral orange fills the sky with smooth color transition, though lacking dramatic cloud formations.",claude-sonnet-4-5,anthropic,2026-05-12T20:53:49.903918+00:00,,0
84,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/54450151312.jpg,0.72,True,False,0.85,True,Deep blues and grays with golden yellow and orange near horizon,,blue_hour,full,"Dramatic cloudy sky with vivid golden light breaking through at the horizon, creating strong contrast with deep blue storm clouds above.",claude-sonnet-4-5,anthropic,2026-05-12T20:53:58.955005+00:00,,0
85,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/27113139204.jpg,0.82,True,False,0.85,True,"Deep blues, vibrant pinks, purples, and orange gradient",,blue_hour,full,"Stunning blue hour scene with dramatic pink and purple clouds reflected in calm harbor water, creating a vivid color gradient across the entire sky.",claude-sonnet-4-5,anthropic,2026-05-12T20:54:08.232401+00:00,,0
86,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/45885927024.jpg,0.72,True,False,0.85,True,warm golden orange with amber and peach tones,building,golden_hour,mostly,"Vivid golden-orange sunset with dramatic industrial silhouettes and warm atmospheric glow, though partially obscured by construction cranes.",claude-sonnet-4-5,anthropic,2026-05-12T20:54:17.066071+00:00,,0
87,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/19722175192.jpg,0.62,True,False,0.75,True,warm golden orange and peachy tones with blue-gray clouds,,golden_hour,full,"Golden light illuminates the beach and pier with warm tones, though the sky itself shows moderate color with mostly gray clouds limiting the vibrancy.",claude-sonnet-4-5,anthropic,2026-05-12T20:54:27.336557+00:00,,0
88,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/34266296883.jpg,0.72,True,False,0.75,True,"Golden yellow, soft orange, pale blue with warm amber tones",,golden_hour,full,"Vivid golden sun with warm amber glow illuminating the landscape and soft clouds, creating a beautiful aerial golden hour scene.",claude-sonnet-4-5,anthropic,2026-05-12T20:54:36.648076+00:00,,0
89,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/19934707888.jpg,0.82,True,False,0.85,True,"Pink, purple, peach, and soft orange with wispy cloud formations",,golden_hour,full,"Dramatic wispy clouds painted in rich pink and purple hues stretch across the entire sky above plowed fields, creating a vivid and expansive sunset scene.",claude-sonnet-4-5,anthropic,2026-05-12T20:54:45.686847+00:00,,0
90,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/48912835787.jpg,0.4,True,False,0.65,False,"coral pink, peach, cream, and muted orange horizontal bands",rain on lens,twilight,partial,"Distorted sunset colors visible through heavy water streaks on lens, creating vertical drip patterns that obscure the scene and reduce overall quality.",claude-sonnet-4-5,anthropic,2026-05-12T20:54:54.853182+00:00,,0
91,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/29693337674.jpg,0.72,True,False,0.85,True,"golden amber, dark gray, warm orange highlights",,golden_hour,full,"Dramatic cloud formations with strong golden light breaking through dark storm clouds create a moody, vivid scene.",claude-sonnet-4-5,anthropic,2026-05-12T20:55:04.923613+00:00,,0
92,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/21893538066.jpg,0.72,True,False,0.85,False,warm golden orange and amber tones,,golden_hour,full,"Rich golden-orange sky with warm amber tones creating a vivid silhouette scene, though lacking dramatic cloud formations.",claude-sonnet-4-5,anthropic,2026-05-12T20:55:12.720915+00:00,,0
93,external,,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/external_images/flickr/9942193993.jpg,0.88,True,False,0.85,True,"brilliant orange, gold, amber with blue-gray accents",,golden_hour,full,"Spectacular sunset with dramatic layered clouds in vivid orange and gold tones, perfectly reflected in calm water below.",claude-sonnet-4-5,anthropic,2026-05-12T20:55:22.267048+00:00,,0
